Date,SHA Inflow,SHA Outflow,KWK Outflow,SHA Elev,KWK Elev,SHA Storage,SAC Flow,SAC Temp,MCC Flow,MCC Temp,PIT Flow,PIT Temp,SQW Flow,SQW Temp,Upper Gate Ops,Middle Gate Ops,Lower Gate Ops,Side Gate Ops,SPP Temp,Air Temp,Dew Point,Wind Speed,Cloud Cover,Solar Rad,Precip,Mid Prof Temp,Low Prof Temp,SideProf Temp,SHA Temp,KWK Temp
1,116.69838,135.91195,143.77001,310.20122,177.50609,3226056,12.50123,4.67,13.37308,4.5,89.88918,6.44,0.42475,4.5,0,5,0,0,8.77247,4.72766,-1.87923,2.08101,3.0895,88.965,0,11.17982,9.41602,8.94017,11.46286302,11.01498269
2,145.03698,138.23572,142.41684,310.20732,177.50609,3226532,11.33127,4.67,11.19692,4.39,121.72582,6.56,0.42475,4.39,0,5,0,0,8.76157,3.86227,-2.37793,1.26934,6.54752,57.56873,0.43095,11.13001,9.39128,8.92094,11.38257137,10.94243506
3,131.60448,134.41,142.55145,310.20427,177.50609,3226294,11.08788,5.28,10.42648,5,109.34808,6.67,0.42475,5,0,5,0,0,8.68519,6.79877,0.27084,0.99804,5.89613,103.18826,0.02344,11.08021,9.36654,8.90171,11.2927437,10.92153742
4,149.5995,139.3976,142.31766,310.21341,177.50609,3227009,11.25269,4.94,11.66324,4.89,125.85154,6.83,0.42475,4.89,0,5,0,0,8.79398,5.85443,3.41378,1.90929,6.33471,35.19003,0.0379,11.03041,9.34179,8.88248,11.22286523,10.9448624
5,119.33387,138.57578,138.33844,310.19512,177.50609,3225579,11.39683,4.33,11.55068,4.11,95.58878,6.89,0.42475,4.11,0,5,0,0,8.74074,3.79481,-1.36062,3.44981,0.63193,122.02682,1.68484,10.9806,9.31705,8.86325,11.11675347,10.87543403
6,133.47483,130.89602,131.60921,310.19512,177.50609,3225579,9.702,4.61,8.722,4.33,114.442,6.94,0.42475,4.33,0,5,0,0,8.80556,4.52029,-3.32434,1.06886,7.2066,89.09759,0,10.9308,9.2923,8.84402,11.03882137,10.84299447
7,156.23073,128.00548,130.2277,310.21951,177.50609,3227485,9.519,4.89,8.454,4.5,137.654,7,0.42475,4.5,0,5,0,0,8.85417,7.31973,-1.1708,1.45685,3.60497,118.81629,0.02344,10.881,9.26756,8.82479,10.96683706,10.82235404
8,122.93287,128.34554,129.41296,310.21341,177.50609,3227009,11.12933,5.11,11.94068,4.67,99.01378,7.17,0.42475,4.67,0,5,0,0,8.81019,7.7839,1.41476,0.92507,5.26311,98.31895,0.0081,10.8312,9.24281,8.80556,10.90407986,10.80340149
9,111.71078,125.11494,128.43292,310.20122,177.50609,3226056,10.65674,6.17,10.80704,5.83,89.49884,7.44,0.42475,5.83,0,5,0,0,8.71296,6.79399,1.28564,1.82616,8.6447,51.71736,0.02121,10.78139,9.21807,8.78632,10.78706919,10.77858153
10,172.44041,128.20385,127.61818,310.24085,177.50609,3229153,16.9331,7.22,22.9276,7.28,130.9646,7.5,0.42475,7.28,0,5,0,0,8.54861,7.01504,5.37515,6.70259,9.87204,41.36406,0.06752,10.73159,9.19332,8.76709,10.6528903,10.74522569
11,340.26163,122.02603,133.04975,310.43598,177.50609,3244427,78.08006,5.94,72.61576,6.11,184.14996,7.61,14.7529,6.11,0,5,0,0,8.56944,7.2694,4.47967,6.54384,8.87259,64.6897,12.73525,10.68179,9.16858,8.74786,10.5825778,10.57772312
12,214.29653,101.2255,126.71017,310.53659,177.50609,3252328,39.6187,5.33,28.9052,5.72,144.4742,7.72,0.42475,5.72,0,5,0,0,8.52315,5.70363,2.72715,3.14408,9.88381,89.71686,20.2907,10.63199,9.14383,8.72863,10.57299704,10.35839442
13,270.09524,119.19217,119.85577,310.67073,177.50609,3262862,52.91488,7.06,35.16848,7.44,180.14008,7.78,2.0855,7.44,0,5,0,0,8.48611,7.19708,5.86644,6.76209,9.90508,52.62622,4.27381,10.58218,9.11909,8.7094,10.49577225,10.2492927
14,541.18234,76.82596,116.8318,311.08232,177.50609,3295363,282.05051,7.56,67.43396,8,178.73966,7.5,13.00004,8,0,5,0,0,8.38889,9.27071,8.38513,5.85747,9.92854,61.24987,19.70596,10.53238,9.09435,8.69017,10.42793531,9.936310442
15,550.78913,47.26879,119.46611,311.83841,177.50609,3355000,199.69281,7.56,89.06476,8.06,242.66146,7.56,20.31715,8.06,0,5,0,0,8.39583,9.38391,8.55465,5.79984,9.93522,63.57056,33.53691,10.48258,9.0696,8.67094,10.26757009,9.540010931
16,940.87003,17.71163,121.21366,312.58537,177.50609,3415575,329.78466,7.06,200.18736,7.44,369.27356,7.67,57.90693,7.44,0,5,0,0,8.38657,7.9726,4.83524,8.13463,8.9584,85.92966,26.67651,10.43277,9.04486,8.65171,10.32822145,9.332449203
17,541.40905,87.99137,119.4425,312.97561,177.50609,3447281,150.39155,7.61,101.3138,8,270.7723,7.89,24.46067,8,0,5,0,0,8.3912,6.36951,4.97414,1.82622,8.5872,49.98892,23.44226,10.38297,9.02011,8.63248,10.43142361,9.544817387
18,452.79423,111.85247,118.97491,313.26524,177.50609,3470941,114.14184,8.06,84.71664,8.5,244.25544,8,18.8463,8.5,0,5,0,0,8.47917,7.63748,6.95145,1.26499,9.91819,31.13445,1.21284,10.33317,8.99537,8.61325,10.37594703,9.644370499
19,525.93617,57.21564,118.09759,313.66463,177.50609,3503748,151.2547,7.78,87.2612,8.5,276.0802,7.94,19.70706,8.5,0,5,0,0,8.21528,8.58566,7.96972,3.49962,9.69572,47.53276,12.18218,10.28337,8.97062,8.59402,10.29154506,9.638274973
20,714.72796,65.49052,118.85919,314.21341,177.50609,3549189,224.53056,7.61,157.51376,8,303.03296,7.83,43.4716,8,0,5,0,0,8.21528,8.12839,5.88401,2.50934,7.68029,101.23815,39.09338,10.23356,8.94588,8.57479,10.13140488,9.593464476
21,535.34459,53.2199,120.41546,314.61585,177.50609,3582755,130.12725,7.39,97.101,8,292.8985,7.83,23.0356,8,0,5,0,0,8.31666,7.24252,5.10798,3.62544,8.65896,87.27444,3.0198,10.18376,8.92113,8.55556,10.093107,9.470440216
22,450.21542,113.52445,174.95546,314.89634,177.50609,3606292,95.26991,7.17,81.13636,7.83,261.98006,7.94,17.63519,7.83,0,5,0,0,8.17361,7.11275,5.24514,1.54066,7.75141,95.92816,5.83656,10.13396,8.89639,8.53632,10.13503086,9.388802223
23,500.71481,118.79543,181.43438,315.21341,177.50609,3633024,99.7746,7.56,96.2316,8,292.4636,7.94,22.7415,8,0,5,0,0,8.2338,8.29715,7.66204,3.39955,9.86946,66.38479,1.69315,10.08416,8.87165,8.51709,10.14556006,9.355591061
